,restaurant_id,restaurant_name,length,ave_rating,popularity,topic_id,topic_words
31,31,Le Ruban Pâtisserie 法朋烘焙甜點坊,840,4.0,3493,13,"['""蛋糕"" ', '""甜點"" ', '""服務"" ', '""奶油"" ', '""味道"" ', '""店員"" ', '""喜歡"" ', '""巧克力"" ', '""草莓"" ', '""態度""']"
32,32,好米亞 Goodies Cuisine,840,4.3,2461,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
33,33,青田七六,840,4.4,3381,19,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""餐廳"" ', '""適合"" ', '""味道"" ', '""喜歡"" ', '""食物""']"
34,34,大阪燒肉 燒魂Yakikon 大安店,840,4.9,5554,17,"['""鬆餅"" ', '""服務"" ', '""店員"" ', '""舒芙蕾"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""環境"" ', '""態度"" ', '""珍珠""']"
35,35,青沐初食,840,4.4,1232,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
36,36,和牛涮 日式鍋物放題 台北羅斯福店,840,4.9,10660,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
37,37,微兜 Petit Doux咖啡小酒館 永康店,840,4.2,2206,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
38,38,Le Blanc 牛排館,840,4.4,2977,22,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""咖哩"" ', '""薯條"" ', '""餐廳"" ', '""味道"" ', '""餐點"" ', '""用餐"" ', '""推薦""']"
39,39,果然匯 明曜店,840,4.3,4585,1,"['""餐點"" ', '""服務"" ', '""適合"" ', '""環境"" ', '""用餐"" ', '""食物"" ', '""餐廳"" ', '""味道"" ', '""喜歡"" ', '""咖啡""']"
40,40,燒肉-殿,840,3.9,4994,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
41,41,Pocha 韓式熱炒,840,4.0,1445,0,"['""服務"" ', '""炸雞"" ', '""餐點"" ', '""店員"" ', '""味道"" ', '""態度"" ', '""用餐"" ', '""韓式"" ', '""東西"" ', '""適合""']"
42,42,Sugar Miss,779,4.2,959,13,"['""蛋糕"" ', '""甜點"" ', '""服務"" ', '""奶油"" ', '""味道"" ', '""店員"" ', '""喜歡"" ', '""巧克力"" ', '""草莓"" ', '""態度""']"
43,43,銀兔湯咖哩 師大店,840,4.6,4810,18,"['""咖哩"" ', '""市場"" ', '""味道"" ', '""南門"" ', '""料理"" ', '""乾淨"" ', '""師傅"" ', '""用餐"" ', '""服務"" ', '""新鮮""']"
44,44,佐藤咖哩Sato Curry,840,4.4,4213,22,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""咖哩"" ', '""薯條"" ', '""餐廳"" ', '""味道"" ', '""餐點"" ', '""用餐"" ', '""推薦""']"
45,45,屯京拉麵,840,4.2,2411,6,"['""拉麵"" ', '""湯頭"" ', '""柑橘"" ', '""叉燒"" ', '""味道"" ', '""豚骨"" ', '""喜歡"" ', '""麵條"" ', '""排隊"" ', '""蛤蜊""']"
46,46,台一牛奶大王,840,3.8,5384,24,"['""炸雞"" ', '""披薩"" ', '""牛肉麵"" ', '""湯圓"" ', '""味道"" ', '""牛肉"" ', '""紅燒"" ', '""湯頭"" ', '""價格"" ', '""牛奶""']"
47,47,M ONE Cafe 大安館,840,4.3,2660,19,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""餐廳"" ', '""適合"" ', '""味道"" ', '""喜歡"" ', '""食物""']"
48,48,太和殿鴛鴦麻辣火鍋,840,4.4,4849,9,"['""鴨血"" ', '""服務"" ', '""豆腐"" ', '""麻辣鍋"" ', '""麻辣"" ', '""味道"" ', '""湯包"" ', '""湯頭"" ', '""用餐"" ', '""價格""']"
49,49,起家雞韓式炸雞 光復店,840,3.9,2472,0,"['""服務"" ', '""炸雞"" ', '""餐點"" ', '""店員"" ', '""味道"" ', '""態度"" ', '""用餐"" ', '""韓式"" ', '""東西"" ', '""適合""']"
50,50,Toasteria Cafe 永康旗艦店,840,4.3,4936,19,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""餐廳"" ', '""適合"" ', '""味道"" ', '""喜歡"" ', '""食物""']"
51,51,KoKu café 榖珈琲,840,4.2,1620,17,"['""鬆餅"" ', '""服務"" ', '""店員"" ', '""舒芙蕾"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""環境"" ', '""態度"" ', '""珍珠""']"
52,52,咖啡弄,840,3.8,2107,17,"['""鬆餅"" ', '""服務"" ', '""店員"" ', '""舒芙蕾"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""環境"" ', '""態度"" ', '""珍珠""']"
53,53,Toast Chat,840,4.7,3004,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
54,54,品鱻,840,4.1,4440,9,"['""鴨血"" ', '""服務"" ', '""豆腐"" ', '""麻辣鍋"" ', '""麻辣"" ', '""味道"" ', '""湯包"" ', '""湯頭"" ', '""用餐"" ', '""價格""']"
55,55,金洹苑 KIN KAN EN,840,4.8,7245,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
56,56,樂軒和牛專賣店,240,4.7,2580,10,"['""湯頭"" ', '""服務"" ', '""牛奶鍋"" ', '""新鮮"" ', '""湯底"" ', '""火鍋"" ', '""菜盤"" ', '""份量"" ', '""火鍋店"" ', '""白醬""']"
57,57,思慕昔本館,840,3.6,3967,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
58,58,囍聚精緻鍋物,840,4.5,1674,20,"['""服務"" ', '""新鮮"" ', '""海鮮"" ', '""用餐"" ', '""海膽"" ', '""餐點"" ', '""東西"" ', '""食物"" ', '""時間"" ', '""生魚片""']"
